episode,reward,success,collision,steps,epsilon,final_distance
0,-57.77228808482607,0,0,300,0.995,8.131542205810547
1,-47.42256488800037,0,0,300,0.990025,7.511282444000244
2,-69.50696136474588,0,0,300,0.985074875,6.993480682373047
3,-53.6090153121947,0,0,300,0.9801495006250001,7.634507656097412
4,-50.43685817718495,0,0,300,0.9752487531218751,6.218429088592529
5,-50.869115935167876,0,0,300,0.9703725093562657,6.999956130981445
6,-64.28573650360093,0,0,300,0.9655206468094844,7.172868251800537
7,-54.63027089039342,0,0,300,0.960693043575437,7.479737281799316
8,-42.03864859660592,0,0,300,0.9558895783575597,7.1447224617004395
9,-57.26822559356675,0,0,300,0.9511101304657719,6.924112796783447
10,-56.17298419952383,0,0,300,0.946354579813443,7.796492099761963
11,-46.492743911743084,0,0,300,0.9416228069143757,6.776371955871582
12,-47.52347190856925,0,0,300,0.9369146928798039,6.471735954284668
13,-46.67762692371863,0,0,300,0.9322301194154049,6.803415298461914
14,-59.02430110057315,0,0,300,0.9275689688183278,6.607548713684082
15,-42.13253528594962,0,0,300,0.9229311239742362,5.6562676429748535
16,-61.27366531372056,0,0,300,0.918316468354365,6.696832656860352
17,-44.738312712511636,0,0,300,0.9137248860125932,5.99455451965332
18,-50.03190746307361,0,0,300,0.9091562615825302,7.315953731536865
19,-45.325420761108326,0,0,300,0.9046104802746175,7.462710380554199
20,-50.01387930949651,0,0,300,0.9000874278732445,5.872337818145752
21,-50.92317520141593,0,0,300,0.8955869907338783,7.281587600708008
22,-54.80235130310049,0,0,300,0.8911090557802088,6.491175651550293
23,-62.929248046874854,0,0,300,0.8866535105013078,6.6146240234375
24,-125.25069969177225,0,0,300,0.8822202429488013,5.0353498458862305
25,-45.73068984985345,0,0,300,0.8778091417340573,7.195344924926758
26,-56.549980888366605,0,0,300,0.8734200960253871,5.89499044418335
27,-48.199900093078526,0,0,300,0.8690529955452602,6.629950046539307
28,-52.43260807037343,0,0,300,0.8647077305675338,5.246304035186768
29,-55.76080825805652,0,0,300,0.8603841919146962,6.24040412902832
30,-55.08917530059802,0,0,300,0.8560822709551227,6.254587650299072
31,-43.6360135269164,0,0,300,0.851801859600347,5.558006763458252
32,-44.17436266978708,0,0,300,0.8475428503023453,6.452579498291016
33,-47.144145079455036,0,0,300,0.8433051360508336,6.907470703125
34,-52.99706329345693,0,0,300,0.8390886103705794,6.178531646728516
35,-54.083343048095614,0,0,300,0.8348931673187264,6.781671524047852
36,-50.264622955322146,0,0,300,0.8307187014821328,6.992311477661133
37,-62.13053920745835,0,0,300,0.8265651079747222,6.425269603729248
38,-47.713221397399785,0,0,300,0.8224322824348486,4.686610698699951
39,-51.64673027038564,0,0,300,0.8183201210226743,7.153365135192871
40,-52.663121910095086,0,0,300,0.8142285204175609,6.221560955047607
41,-45.928700934252404,0,0,300,0.810157377815473,6.329748630523682
42,-44.470856734118136,0,0,300,0.8061065909263957,7.070826530456543
43,-41.871974936327575,0,0,300,0.8020760579717637,6.061385631561279
44,-45.68449726104727,0,0,300,0.798065677681905,5.642248630523682
45,-55.35256053924547,0,0,300,0.7940753492934954,6.416280269622803
46,-52.23449405670153,0,0,300,0.7901049725470279,7.44724702835083
47,-212.21140190124498,0,1,289,0.7861544476842928,4.500700950622559
48,-35.94070175170894,0,0,300,0.7822236754458713,4.830350875854492
49,-45.929481154284105,0,0,300,0.778312557068642,6.770138740539551
50,-54.74649360656728,0,0,300,0.7744209942832988,5.233246803283691
51,-43.65742084503164,0,0,300,0.7705488893118823,6.718710422515869
52,-42.49007579803461,0,0,300,0.7666961448653229,5.635037899017334
53,-45.694436674913995,0,0,300,0.7628626641409962,5.652616500854492
54,-40.515768538317346,0,0,300,0.7590483508202912,5.623282432556152
55,-29.344717826843205,0,0,300,0.7552531090661897,5.502358913421631
56,-40.39390612681833,0,0,300,0.7514768435208588,7.562351226806641
57,-43.435116195678646,0,0,300,0.7477194593032545,5.0175580978393555
58,-38.07437107086173,0,0,300,0.7439808620067382,5.927185535430908
59,-56.42014713287342,0,0,300,0.7402609576967045,6.360073566436768
60,-31.829517631530685,0,0,300,0.736559652908221,5.274758815765381
61,-39.29890850067136,0,0,300,0.7328768546436799,5.509454250335693
62,-44.16441001892076,0,0,300,0.7292124703704616,7.382205009460449
63,-43.625988693237225,0,0,300,0.7255664080186093,5.702994346618652
64,-41.25673342784371,0,0,300,0.7219385759785162,5.493764877319336
65,-42.18099886973823,0,0,300,0.7183288830986236,4.925897598266602
66,-47.039415626525766,0,0,300,0.7147372386831305,5.3797078132629395
67,-50.09756518443552,0,0,300,0.7111635524897149,5.414180755615234
68,-34.27213697433471,0,0,300,0.7076077347272662,2.9860684871673584
69,-44.92518451690665,0,0,300,0.7040696960536299,6.822592258453369
70,-43.20710643768304,0,0,300,0.7005493475733617,6.933553218841553
71,-52.62773776133973,0,0,300,0.697046600835495,6.059267044067383
72,-35.66159392436471,0,0,300,0.6935613678313175,5.696195125579834
73,-40.41655493815865,0,0,300,0.6900935609921609,5.573675632476807
74,-40.56824690898383,0,0,300,0.6866430931872001,6.119521617889404
75,-41.63272334178413,0,0,300,0.6832098777212641,5.681759834289551
76,-39.66894092559806,0,0,300,0.6797938283326578,6.134470462799072
77,-40.91613585551702,0,0,300,0.6763948591909945,5.293466091156006
78,-43.14672443389884,0,0,300,0.6730128848950395,6.463362216949463
79,-43.91504356384269,0,0,300,0.6696478204705644,6.347521781921387
80,-44.39714480479683,0,0,300,0.6662995813682115,5.563970565795898
81,-35.78662189483639,0,0,300,0.6629680834613705,5.723310947418213
82,-44.1604352100703,0,0,300,0.6596532430440636,5.945615768432617
83,-42.0396178054809,0,0,300,0.6563549768288433,5.8798089027404785
84,-41.86289188385007,0,0,300,0.653073201944699,5.321445941925049
85,-78.83114883422837,0,0,300,0.6498078359349755,4.305574417114258
86,-34.93843433380123,0,0,300,0.6465587967553006,4.859217166900635
87,-44.45275440216055,0,0,300,0.6433260027715241,7.526377201080322
88,-34.665646086535105,0,0,300,0.6401093727576664,5.198221206665039
89,-32.124483375549296,0,0,300,0.6369088258938781,5.422241687774658
90,-36.70628089030708,0,0,300,0.6337242817644086,5.128538608551025
91,-33.37367583354441,0,0,300,0.6305556603555866,5.552236080169678
92,-28.377723227343253,0,0,300,0.6274028820538087,5.054259777069092
93,-35.14454910278316,0,0,300,0.6242658676435396,4.962274551391602
94,-35.185505599975514,0,0,300,0.6211445383053219,5.482752799987793
95,-40.913926391601514,0,0,300,0.6180388156137953,5.316963195800781
96,-36.08848163604731,0,0,300,0.6149486215357263,5.434240818023682
97,-31.46407100677485,0,0,300,0.6118738784280476,5.622035503387451
98,-40.7328163441035,0,0,300,0.6088145090359074,5.671806335449219
99,-31.04317543029785,0,0,300,0.6057704364907278,4.911587715148926
100,-38.49296924591057,0,0,300,0.6027415843082742,5.136484622955322
101,-34.575950690111775,0,0,300,0.5997278763867329,5.123373508453369
102,-37.971515388488704,0,0,300,0.5967292370047992,5.375757694244385
103,-135.831174583435,0,0,300,0.5937455908197752,4.805587291717529
104,-36.82063151439154,0,0,300,0.5907768628656763,5.275713920593262
105,-35.52320072174067,0,0,300,0.5878229785513479,5.151600360870361
106,-28.43281337738035,0,0,300,0.5848838636585911,5.1064066886901855
107,-32.22014529307812,0,0,300,0.5819594443402982,4.945470809936523
108,-40.46647331237782,0,0,300,0.5790496471185967,5.123236656188965
109,-30.195840845904076,0,0,300,0.5761543988830038,2.9633185863494873
110,-35.09307941436763,0,0,300,0.5732736268885887,5.376539707183838
111,-40.30840446472158,0,0,300,0.5704072587541458,4.89420223236084
112,-143.4312309559201,0,0,300,0.567555222460375,4.871013641357422
113,-31.035765181383788,0,0,300,0.5647174463480732,5.3832807540893555
114,-36.62901184082029,0,0,300,0.5618938591163328,5.704505920410156
115,-29.693628798327087,0,0,300,0.5590843898207511,5.712212562561035
116,-32.974592810473126,0,0,300,0.5562889678716474,4.792694568634033
117,-31.43640544891348,0,0,300,0.5535075230322891,5.578202724456787
118,-31.45108577728267,0,0,300,0.5507399854171277,5.115542888641357
119,-25.911103630065906,0,0,300,0.547986285490042,3.755551815032959
120,-29.048486022949184,0,0,300,0.5452463540625918,5.384243011474609
121,-32.28564245223993,0,0,300,0.5425201222922789,3.232821226119995
122,-27.644625453948965,0,0,300,0.5398075216808175,3.6823127269744873
123,-39.51917136271923,0,0,300,0.5371084840724134,4.56498384475708
124,-30.293306083679134,0,0,300,0.5344229416520513,5.0366530418396
125,-35.27304813385008,0,0,300,0.531750826943791,5.526524066925049
126,-35.62236834605658,0,0,300,0.5290920728090721,5.176582336425781
127,-20.808537131151876,0,0,300,0.5264466124450268,5.209666728973389
128,-32.66024330139158,0,0,300,0.5238143793828016,5.190121650695801
129,-38.211221542358345,0,0,300,0.5211953074858876,4.935610771179199
130,-111.2462081527709,0,0,300,0.5185893309484582,4.893104076385498
131,-30.23433813095095,0,0,300,0.5159963842937159,3.447169065475464
132,-36.10797740936274,0,0,300,0.5134164023722473,5.2939887046813965
133,-29.79879894256586,0,0,300,0.510849320360386,5.199399471282959
134,-40.29197859843696,0,0,300,0.5082950737585841,4.391387462615967
135,-29.253861971697507,0,0,300,0.5057535983897912,3.462329149246216
136,-33.12261268615719,0,0,300,0.5032248303978422,5.451306343078613
137,-102.11931002696467,0,0,300,0.500708706245853,4.365053176879883
138,-36.04901674270624,0,0,300,0.4982051627146237,3.8845083713531494
139,-21.0902667148921,0,0,300,0.49571413690105054,2.410531520843506
140,-27.199387675127696,0,0,300,0.4932355662165453,2.9050920009613037
141,-71.60971197128285,0,0,300,0.4907693883854626,3.6348559856414795
142,-24.415856628417913,0,0,300,0.4883155414435353,5.067928314208984
143,-37.793836860656725,0,0,300,0.4858739637363176,4.256918430328369
144,-31.904190330505322,0,0,300,0.483444593917636,5.3120951652526855
145,-34.50932910919185,0,0,300,0.4810273709480478,5.614664554595947
146,-23.65551268657174,0,0,300,0.47862223409330756,5.01315450668335
147,-195.73723396301358,0,0,300,0.47622912292284103,4.698616981506348
148,-52.78275923808544,0,0,300,0.4738479773082268,4.9867777824401855
149,-27.779639731249485,0,0,300,0.47147873742168567,5.255218029022217
150,-44.35598689158883,0,0,300,0.46912134373457726,4.8933916091918945
151,-19.37172032435868,0,0,300,0.46677573701590436,3.0512583255767822
152,-60.54194949229685,0,0,300,0.46444185833082485,4.776372909545898
153,-20.929004878997784,0,0,300,0.46211964903917074,2.8545024394989014
154,-33.969580383300745,0,0,300,0.4598090507939749,5.874790191650391
