episode,reward,success,collision,steps,epsilon,final_distance
0,-36.80203735351563,0,0,93,0.995,7.483009338378906
1,-54.230183486938444,0,0,128,0.990025,7.462545871734619
2,-114.08721038818352,0,0,132,0.985074875,8.029302597045898
3,-53.204025726318335,0,0,143,0.9801495006250001,7.30600643157959
4,-39.30651947021483,0,0,80,0.9752487531218751,7.649129867553711
5,-61.69025215148917,0,0,300,0.9703725093562657,6.4000630378723145
6,-74.06675239562988,0,0,88,0.9655206468094844,7.901688098907471
7,-58.157180023193334,0,0,141,0.960693043575437,7.23929500579834
8,-49.284374953112305,0,0,134,0.9558895783575597,7.318792819976807
9,-44.209787855944356,0,0,90,0.9511101304657719,7.6726460456848145
10,-41.685568771362306,0,0,95,0.946354579813443,7.618892192840576
11,-70.78742904663073,0,0,300,0.9416228069143757,6.771857261657715
12,-51.43263092041014,0,0,110,0.9369146928798039,7.195657730102539
13,-41.10056175231934,0,0,99,0.9322301194154049,7.427640438079834
14,-47.980076675415035,0,0,115,0.9275689688183278,7.58751916885376
15,-80.43634788513165,0,0,300,0.9229311239742362,5.129086971282959
16,-81.38693104664338,0,0,289,0.918316468354365,6.571533679962158
17,-39.791374359130856,0,0,88,0.9137248860125932,7.345343589782715
18,-54.63813522338866,0,0,101,0.9091562615825302,7.652033805847168
19,-67.8466575622558,0,0,224,0.9046104802746175,6.886664390563965
20,-64.45849411010741,0,0,80,0.9000874278732445,8.384623527526855
21,-74.48106494029487,0,0,233,0.8955869907338783,7.205465316772461
22,-64.50530563354485,0,0,203,0.8911090557802088,6.7238264083862305
23,-70.64201736450194,0,0,186,0.8866535105013078,6.973004341125488
24,-65.51591644287103,0,0,197,0.8822202429488013,7.228979110717773
25,-82.82255976756531,0,0,292,0.8778091417340573,5.970839023590088
26,-60.65123825073231,0,0,300,0.8734200960253871,5.9003095626831055
27,-55.60150283813474,0,0,151,0.8690529955452602,7.790375709533691
28,-44.747426482043,0,0,99,0.8647077305675338,7.129555702209473
29,-43.22118830760452,0,0,108,0.8603841919146962,7.6154961585998535
30,-72.93754740794623,0,0,281,0.8560822709551227,5.929585933685303
31,-82.53948875427234,0,0,269,0.851801859600347,6.769872188568115
32,-85.63560142517073,0,0,300,0.8475428503023453,4.746400356292725
33,-48.68179435729979,0,0,168,0.8433051360508336,6.870448589324951
34,-63.56506027221677,0,0,221,0.8390886103705794,6.731265068054199
35,-74.69509738048043,0,0,236,0.8348931673187264,6.688973426818848
36,-90.18579341014348,0,0,295,0.8307187014821328,6.291647434234619
37,-66.25596267700186,0,0,300,0.8265651079747222,6.358990669250488
38,-41.84256976207228,0,0,143,0.8224322824348486,6.038341522216797
39,-62.80915580749506,0,0,300,0.8183201210226743,5.987288951873779
40,-48.30652778625485,0,0,131,0.8142285204175609,7.406631946563721
41,-51.89195686340323,0,0,300,0.810157377815473,5.70798921585083
42,-64.329275894165,0,0,187,0.8061065909263957,7.44481897354126
43,-44.5263783558223,0,0,126,0.8020760579717637,7.076793670654297
44,-39.54044268687697,0,0,95,0.798065677681905,7.575309753417969
45,-57.81664736827342,0,0,220,0.7940753492934954,6.80686092376709
46,-63.252419281005785,0,0,300,0.7901049725470279,4.988104820251465
47,-43.701212615966774,0,0,172,0.7861544476842928,6.307803153991699
48,-43.96480392456054,0,0,94,0.7822236754458713,7.431200981140137
49,-41.92119174083206,0,0,98,0.778312557068642,7.465497016906738
50,-60.87377571105948,0,0,300,0.7744209942832988,6.533443927764893
51,-66.23026545604195,0,0,245,0.7705488893118823,6.5352654457092285
52,-53.39804041942086,0,0,300,0.7666961448653229,5.064709186553955
53,-41.953349151611334,0,0,112,0.7628626641409962,6.853337287902832
54,-52.780700560412036,0,0,300,0.7590483508202912,5.475374221801758
55,-53.59271057128901,0,0,300,0.7552531090661897,6.440677642822266
56,-73.04296961863957,0,0,253,0.7514768435208588,6.155941486358643
57,-43.874374084472635,0,0,153,0.7477194593032545,5.923593521118164
58,-55.32773844798525,0,0,300,0.7439808620067382,6.224633693695068
59,-70.15217651367163,0,0,300,0.7402609576967045,6.440544128417969
60,-54.06692797740423,0,0,300,0.736559652908221,6.309431076049805
61,-63.09294967651358,0,0,300,0.7328768546436799,5.573237419128418
62,-59.344277648925676,0,0,300,0.7292124703704616,6.078569412231445
63,-69.87126704295599,0,0,247,0.7255664080186093,6.100515842437744
64,-82.32802299499507,0,0,275,0.7219385759785162,7.509505748748779
65,-64.85823051452627,0,0,262,0.7183288830986236,6.859557628631592
66,-51.480370512804626,0,0,300,0.7147372386831305,6.057791709899902
67,-34.80373530467483,0,0,86,0.7111635524897149,7.623632907867432
68,-56.617387924194254,0,0,300,0.7076077347272662,5.176846981048584
69,-51.377877655029174,0,0,300,0.7040696960536299,6.234469413757324
70,-193.00149589538574,0,1,187,0.7005493475733617,4.4853739738464355
71,-40.966378326416006,0,0,137,0.697046600835495,6.774094581604004
72,-57.95549288829298,0,0,222,0.6935613678313175,6.946572303771973
73,-59.674782896837854,0,0,300,0.6900935609921609,6.066394805908203
74,-43.864432860216745,0,0,300,0.6866430931872001,5.82630729675293
75,-49.816907301745076,0,0,300,0.6832098777212641,5.66692590713501
76,-52.30308334350577,0,0,300,0.6797938283326578,6.658270835876465
77,-47.6441590881347,0,0,300,0.6763948591909945,5.096039772033691
78,-51.590217666625904,0,0,300,0.6730128848950395,5.127554416656494
79,-50.4058847808837,0,0,300,0.6696478204705644,5.966471195220947
80,-65.48031204223626,0,0,252,0.6662995813682115,6.512578010559082
81,-48.9420701893183,0,0,300,0.6629680834613705,5.06071662902832
82,-52.017083816528256,0,0,300,0.6596532430440636,5.45927095413208
83,-44.71918612559764,0,0,300,0.6563549768288433,5.7249956130981445
84,-50.787331314086885,0,0,184,0.653073201944699,6.3293328285217285
85,-54.52820185740911,0,0,300,0.6498078359349755,6.244749546051025
